Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée
1973,1678,34,34028,Bédarieux,1973-03-09 15:30:00,10000,4700,4800,0,,,,,,500,,1.0,,,,,,
1973,1693,34,34028,Bédarieux,1973-03-09 15:30:00,10000,4700,4800,0,,,,,,500,,1.0,Malveillance,,,,,
1973,1673,34,34117,Graissessac,1973-03-09 17:00:00,60000,28200,28800,0,,,,,,3000,,1.0,Malveillance,,,,,
1973,1670,34,34157,Mèze,1973-03-09 17:10:00,5000,2350,2400,0,,,,,,250,,1.0,,,,,,
1973,1674,34,34252,Saint-Étienne-Estréchoux,1973-03-09 20:00:00,20000,9400,9600,0,,,,,,1000,,1.0,Malveillance,,,,,
1973,1666,34,34323,Valmascle,1973-03-09 22:00:00,100000,47000,48000,0,,,,,,5000,,1.0,,,,,,
1973,1667,34,34124,Lacoste,1973-03-10 11:00:00,40000,18800,19200,0,,,,,,2000,,1.0,,,,,,
1973,2263,84,84124,Saumane-de-Vaucluse,1973-03-10 12:35:00,15000,7050,7200,0,,,,,,750,,3.0,,,,,,
1973,52,06,06150,La Turbie,1973-03-10 13:30:00,70000,32900,33600,0,,,,,,3500,,1.0,,,,,,
1973,1668,34,34197,Péret,1973-03-10 15:00:00,30000,14100,14400,0,,,,,,1500,,1.0,,,,,,
1973,567,13,13058,Maussane-les-Alpilles,1973-03-10 15:30:00,10000,4700,4800,0,,,,,,500,,1.0,,,,,,
1973,1103,2A,2A330,Ucciani,1973-03-10 16:00:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,568,13,13041,Gardanne,1973-03-10 17:21:00,1000,470,480,0,,,,,,50,,5.0,,,,,,
1973,1675,34,34252,Saint-Étienne-Estréchoux,1973-03-10 18:30:00,40000,18800,19200,0,,,,,,2000,,1.0,Malveillance,,,,,
1973,1920,83,83058,Flayosc,1973-03-10 20:30:00,5000,2350,2400,0,,,,,,250,,1.0,Involontaire (travaux),,,,,
1973,92,06,06075,Levens,1973-03-10 20:45:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,1660,34,34055,Castanet-le-Haut,1973-03-11 08:00:00,25000,11750,12000,0,,,,,,1250,,1.0,,,,,,
1973,1921,83,83058,Flayosc,1973-03-11 11:35:00,1000,470,480,0,,,,,,50,,5.0,,,,,,
1973,47,06,06038,Châteauneuf-Grasse,1973-03-11 12:30:00,30000,14100,14400,0,,,,,,1500,,1.0,,,,,,
1973,45,06,06026,Cabris,1973-03-11 12:30:00,15000,7050,7200,0,,,,,,750,,1.0,,,,,,
1973,49,06,06088,Nice,1973-03-11 13:40:00,2000,940,960,0,,,,,,100,,1.0,Involontaire (travaux),,,,,
1973,43,06,06068,Gourdon,1973-03-11 14:10:00,200000,94000,96000,0,,,,,,10000,,1.0,,,,,,
1973,1686,34,34012,Argelliers,1973-03-11 14:30:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,48,06,06105,Roquefort-les-Pins,1973-03-11 14:50:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,44,06,06089,Opio,1973-03-11 15:20:00,5000,2350,2400,0,,,,,,250,,5.0,,,,,,
1973,70,06,06038,Châteauneuf-Grasse,1973-03-11 15:50:00,50000,23500,24000,0,,,,,,2500,,1.0,Involontaire (travaux),,,,,
1973,38,06,06033,Carros,1973-03-11 16:00:00,3000,1410,1440,0,,,,,,150,,4.0,,,,,,
1973,46,06,06070,Gréolières,1973-03-11 17:23:00,90000,42300,43200,0,,,,,,4500,,3.0,,,,,,
1973,1680,34,34126,Lamalou-les-Bains,1973-03-11 20:30:00,2000,940,960,0,,,,,,100,,1.0,,,,,,
1973,2264,84,84003,Apt,1973-03-12 13:30:00,5000,2350,2400,0,,,,,,250,,1.0,Involontaire (travaux),,,,,
1973,1923,83,83082,Montferrat,1973-03-12 14:21:00,5000,2350,2400,0,,,,,,250,,1.0,,,,,,
1973,1922,83,83050,Draguignan,1973-03-12 15:17:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,1669,34,34079,Clermont-l'Hérault,1973-03-13 14:55:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,1687,34,34173,Montpeyroux,1973-03-13 16:00:00,100000,47000,48000,0,,,,,,5000,,1.0,,,,,,
1973,1679,34,34028,Bédarieux,1973-03-13 23:15:00,20000,9400,9600,0,,,,,,1000,,1.0,Malveillance,,,,,
1973,569,13,13068,Paradou,1973-03-14 00:50:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,53,06,06132,Saorge,1973-03-14 11:30:00,50000,23500,24000,0,,,,,,2500,,1.0,,,,,,
1973,54,06,06083,Menton,1973-03-15 12:25:00,15000,7050,7200,0,,,,,,750,,1.0,Involontaire (travaux),,,,,
1973,55,06,06104,Roquebrune-Cap-Martin,1973-03-15 19:00:00,5000,2350,2400,0,,,,,,250,,1.0,,,,,,
